#{"t_start": 1782478114.7687337, "env_id": "Reacher-v5"}
r,l,t
-21.26445,50,61.108955
-24.163869,50,61.171704
-28.269943,50,61.234367
-31.408507,50,61.298638
-29.503517,50,61.3596
-28.471742,50,61.411079
-20.488913,50,61.468568
-23.908823,50,61.527875
-30.846973,50,61.583957
-28.182319,50,61.640344
-24.514619,50,61.704333
-30.077121,50,61.771152
-25.355493,50,61.836234
-25.057978,50,61.891033
-24.29075,50,61.942036
-28.345327,50,61.998355
-25.114741,50,62.05606
-21.309993,50,62.119134
-22.050331,50,62.180576
-26.771676,50,62.233265
-28.583645,50,62.300577
-19.994741,50,62.363836
-25.532583,50,62.430118
-24.974647,50,62.494477
-33.656866,50,62.5573
-23.451332,50,62.621388
-26.39539,50,62.684705
-28.167222,50,62.746867
-27.304046,50,62.804153
-34.543535,50,62.864323
-24.577945,50,62.916744
-24.309103,50,62.97314
-21.370304,50,64.084908
-22.531214,50,64.134158
-27.306519,50,64.18286
-24.030251,50,64.23497
-23.149601,50,64.286752
-29.452787,50,64.33679
-19.691136,50,64.388479
-28.442435,50,64.441692
-23.517351,50,64.490646
-24.30411,50,64.54051
-27.525914,50,64.601252
-20.64237,50,64.664854
-25.3417,50,64.731912
-21.252615,50,64.797721
-22.62563,50,64.855692
-27.382496,50,64.921145
-25.4491,50,64.986507
-25.259775,50,65.049009
-25.343597,50,65.106909
-24.975069,50,65.176041
-19.970494,50,65.240633
-25.692755,50,65.302457
-21.301885,50,65.367039
-23.600971,50,65.43061
-25.606471,50,65.495195
-23.757825,50,65.556939
-23.116623,50,65.612907
-24.292483,50,65.70208
-21.290005,50,65.7808
-25.1821,50,65.847699
-22.373942,50,65.906122
-24.298356,50,65.967963
-20.772007,50,66.041752
-24.944038,50,66.119588
-25.30847,50,66.18677
-22.319744,50,66.252645
-23.05871,50,66.320474
-25.940478,50,66.376366
-24.745455,50,66.436957
-24.144801,50,66.49964
-21.909149,50,66.572275
-22.743221,50,67.707553
-22.208844,50,67.760394
-24.94803,50,67.829517
-20.166416,50,67.909384
-26.099746,50,67.976407
-19.444588,50,68.042588
-18.109809,50,68.105382
-22.082046,50,68.15702
-20.801559,50,68.211285
-18.148227,50,68.262516
-17.970832,50,68.311133
-21.093266,50,68.373876
-19.074921,50,68.431671
-16.859726,50,68.485745
-21.441643,50,68.538944
-21.878205,50,68.600492
-21.82555,50,68.6569
-23.754539,50,68.714278
-23.384006,50,68.775849
-21.123119,50,68.839569
-18.628097,50,68.903728
-24.006208,50,68.966198
-24.715825,50,69.017939
-18.400782,50,69.07845
-21.153529,50,69.13169
-22.222127,50,69.190595
-21.549222,50,69.247785
-20.667506,50,69.294522
-23.81682,50,69.341938
-14.400231,50,69.388732
-20.190826,50,69.444813
-22.944613,50,69.505687
-18.688469,50,69.561668
-20.601033,50,69.611522
-22.130364,50,69.693535
-24.348186,50,69.769447
-21.028538,50,69.836545
-17.867707,50,69.889539
-21.119002,50,69.938688
-17.075704,50,70.004636
-17.53725,50,70.072937
-16.84966,50,71.169511
-20.06462,50,71.221154
-22.36968,50,71.273993
-19.835333,50,71.34001
-25.267111,50,71.394603
-19.070008,50,71.444494
-20.081314,50,71.492039
-22.171955,50,71.54035
-17.119382,50,71.59022
-20.414443,50,71.637055
-18.770183,50,71.702072
-19.390018,50,71.758047
-22.861834,50,71.810748
-17.161278,50,71.864305
-21.185921,50,71.923805
-17.444135,50,71.979569
-26.117403,50,72.026439
-19.97796,50,72.075895
-23.931578,50,72.12563
-16.852209,50,72.17691
-18.011956,50,72.226398
-16.944323,50,72.27437
-15.159597,50,72.334543
-16.455938,50,72.390828
-24.35062,50,72.442638
-24.058852,50,72.492263
-22.885005,50,72.541941
-21.460168,50,72.59163
-21.905646,50,72.640836
-24.551515,50,72.689759
-20.671387,50,72.740929
-19.725199,50,72.789205
-18.656492,50,72.838423
-20.574169,50,72.888925
-17.732759,50,72.938683
-27.218506,50,72.988704
-19.051007,50,73.05204
-19.373998,50,73.116879
-18.832474,50,73.1783
-18.959294,50,73.242765
-14.959477,50,73.306961
-21.194191,50,74.555818
-19.803253,50,74.615197
-21.242525,50,74.680692
-17.611567,50,74.740592
-25.939545,50,74.800647
-24.599747,50,74.853149
-17.857109,50,74.911437
-20.09429,50,74.977979
-19.212794,50,75.030954
-18.327975,50,75.098445
-23.114397,50,75.154118
-17.556197,50,75.212078
-21.918179,50,75.26693
-19.936575,50,75.329418
-22.395761,50,75.394295
-20.168566,50,75.462474
-17.567463,50,75.529575
-17.342254,50,75.595202
-19.977118,50,75.657321
-25.254003,50,75.721573
-22.070113,50,75.783391
-24.691665,50,75.847779
-17.73758,50,75.923604
-17.330165,50,75.992842
-13.392316,50,76.066106
-17.484513,50,76.122057
-15.970428,50,76.179623
-15.159779,50,76.250046
-17.698168,50,76.316775
-23.218277,50,76.390274
-19.877454,50,76.456295
-15.177734,50,76.524107
-14.896542,50,76.59032
-20.77041,50,76.649752
-19.374748,50,76.715645
-20.248536,50,76.781971
-17.451511,50,76.847527
-13.751125,50,76.910779
-17.124727,50,76.973605
-19.369952,50,77.035019
-21.244089,50,77.096837
-16.921964,50,78.322739
-14.96935,50,78.383575
-16.550333,50,78.430879
-17.997984,50,78.496496
-25.182059,50,78.561119
-17.340986,50,78.612724
-18.231196,50,78.679123
-14.8264,50,78.730136
-19.545176,50,78.80361
-14.534802,50,78.856306
-19.280811,50,78.909527
-17.415641,50,78.971902
-20.028874,50,79.035482
-21.174363,50,79.093643
-15.109126,50,79.157423
-15.090907,50,79.207784
-20.822915,50,79.26193
-14.048372,50,79.312771
-13.370972,50,79.376927
-19.024797,50,79.428168
-16.831242,50,79.475321
-18.837283,50,79.531598
-17.098731,50,79.591212
-20.614945,50,79.64044
-16.03973,50,79.694342
-17.375183,50,79.757567
-22.717927,50,79.812549
-18.129713,50,79.863885
-21.797426,50,79.917421
-20.292781,50,79.972296
-15.44952,50,80.030233
-16.503487,50,80.088255
-16.412332,50,80.14072
-15.796286,50,80.20599
-17.330306,50,80.273508
-24.570327,50,80.340111
-16.447667,50,80.405583
-19.73262,50,80.473416
-14.40269,50,80.525819
-16.969732,50,80.59391
-16.703959,50,80.655093
-13.458274,50,81.832642
-21.440728,50,81.893343
-16.285274,50,81.942416
-18.251138,50,81.995516
-18.192244,50,82.057781
-16.710231,50,82.120629
-16.669853,50,82.179524
-13.956224,50,82.242424
-18.242153,50,82.30372
-23.382213,50,82.36797
-20.279666,50,82.431133
-18.470069,50,82.495039
-14.324263,50,82.54395
-19.052263,50,82.608285
-16.927347,50,82.663743
-14.541626,50,82.713116
-13.337439,50,82.779045
-15.797542,50,82.839906
-13.650248,50,82.889439
-16.781564,50,82.939801
-13.519084,50,82.994114
-16.181168,50,83.049157
-13.527888,50,83.097638
-17.275989,50,83.148673
-18.874866,50,83.200279
-15.988481,50,83.259872
-15.11236,50,83.317832
-16.097447,50,83.368101
-15.058206,50,83.424103
-18.793499,50,83.472546
-19.568268,50,83.518294
-21.099427,50,83.57228
-17.472503,50,83.627679
-18.571631,50,83.685056
-15.598812,50,83.739499
-22.764687,50,83.790034
-17.020915,50,83.843752
-16.95633,50,83.89451
-19.430933,50,83.941723
-14.588039,50,83.995883
-16.387531,50,84.057567
-17.957855,50,85.243706
-12.286306,50,85.301042
-14.597092,50,85.353962
-17.52879,50,85.404127
-14.129828,50,85.459181
-19.00501,50,85.507788
-12.770035,50,85.563197
-14.289497,50,85.612644
-17.582762,50,85.667719
-16.169922,50,85.723491
-19.299378,50,85.789033
-14.2178,50,85.854002
-15.07688,50,85.904734
-12.701456,50,85.958209
-17.056559,50,86.012072
-19.463132,50,86.067613
-16.291438,50,86.127556
-19.074795,50,86.177975
-12.515122,50,86.233707
-15.654207,50,86.297421
-16.704345,50,86.359038
-14.834574,50,86.418499
-15.450997,50,86.473071
-13.811604,50,86.530213
-13.156399,50,86.589927
-14.354699,50,86.6447
-18.802803,50,86.698544
-17.280106,50,86.753196
-21.51584,50,86.809723
-20.692181,50,86.870062
-15.641899,50,86.937315
-14.348278,50,87.000715
-15.587168,50,87.050598
-18.67411,50,87.11007
-20.37408,50,87.16874
-18.787799,50,87.224223
-13.188546,50,87.283403
-16.055813,50,87.337129
-16.210238,50,87.393177
-18.078343,50,87.453316
-18.273333,50,87.505852
-14.58745,50,88.729693
-17.829779,50,88.780768
-16.379727,50,88.834105
-20.294832,50,88.891086
-15.041845,50,88.954581
-16.880025,50,89.012346
-20.320743,50,89.070488
-13.500819,50,89.133094
-18.313782,50,89.190495
-17.030168,50,89.241393
-13.742615,50,89.299358
-11.583007,50,89.355943
-14.798787,50,89.423836
-14.249031,50,89.492091
-14.034426,50,89.557829
-14.099372,50,89.622161
-16.711724,50,89.689194
-17.314724,50,89.758276
-13.581514,50,89.825722
-14.693135,50,89.886807
-17.111873,50,89.94605
-17.2044,50,90.012252
-15.333028,50,90.07612
-13.408844,50,90.138757
-15.008502,50,90.194728
-14.681576,50,90.263632
-18.15183,50,90.330232
-18.63002,50,90.398067
-14.289989,50,90.457977
-14.95085,50,90.524125
-13.339436,50,90.579742
-15.907467,50,90.647317
-15.856821,50,90.715391
-18.646848,50,90.782752
-16.047466,50,90.848387
-11.274701,50,90.907436
-15.746483,50,90.974297
-13.532984,50,91.042083
-14.946436,50,91.111116
-12.542848,50,91.172874
-19.944921,50,92.461536
