#{"t_start": 1782735274.7073853, "env_id": "Reacher-v5"}
r,l,t
-110.997211,50,56.744397
-112.142859,50,56.817387
-114.330253,50,56.885866
-112.914598,50,56.955746
-107.079187,50,57.023487
-109.485773,50,57.0894
-108.078251,50,57.154567
-114.533255,50,57.230791
-109.927413,50,57.29196
-118.351508,50,57.353697
-110.492323,50,57.41265
-109.699603,50,57.469683
-104.587399,50,57.531704
-104.786809,50,57.593121
-113.911437,50,57.654013
-109.46037,50,57.712782
-116.092361,50,57.771584
-117.673243,50,57.831759
-107.273364,50,57.8924
-109.241681,50,57.952943
-105.876122,50,58.01243
-104.597163,50,58.074245
-106.650713,50,58.141506
-105.90386,50,58.201271
-109.533756,50,58.266398
-105.514173,50,58.332917
-113.955684,50,58.393383
-112.081011,50,58.451879
-110.395517,50,58.520206
-111.910294,50,58.588645
-105.856198,50,58.642854
-109.327605,50,58.709321
-112.457106,50,58.76845
-114.327794,50,58.830203
-104.515459,50,58.901242
-104.461243,50,58.974743
-114.290319,50,59.043901
-111.50748,50,59.113835
-108.780279,50,60.48509
-107.204331,50,60.553541
-114.979969,50,60.621945
-105.778546,50,60.687548
-117.5636,50,60.749461
-112.399185,50,60.81811
-113.265859,50,60.899747
-113.538415,50,60.976843
-105.901928,50,61.040984
-111.604068,50,61.116123
-107.038236,50,61.184378
-105.289753,50,61.255501
-112.424116,50,61.321667
-109.539789,50,61.384465
-108.54304,50,61.452473
-115.211324,50,61.51479
-109.054572,50,61.583066
-106.969815,50,61.638756
-110.727014,50,61.708339
-108.577685,50,61.777068
-110.746067,50,61.846796
-111.517364,50,61.92128
-104.394338,50,61.992303
-115.082827,50,62.058104
-109.235966,50,62.127369
-114.038337,50,62.198513
-117.552476,50,62.265838
-108.81403,50,62.332382
-104.493514,50,62.390028
-111.19316,50,62.44608
-112.543024,50,62.520189
-104.622234,50,62.588665
-116.326245,50,62.654444
-113.128681,50,62.715966
-107.630182,50,62.780926
-117.124483,50,62.853926
-116.146045,50,62.91034
-118.718028,50,62.973647
-117.68961,50,63.03307
-105.097682,50,63.096708
-106.588281,50,63.162753
-108.352691,50,64.415256
-115.505935,50,64.485117
-116.602363,50,64.55151
-106.706984,50,64.615989
-116.136015,50,64.679611
-114.162537,50,64.744271
-104.491096,50,64.814021
-115.475331,50,64.878374
-110.874994,50,64.949574
-113.610092,50,65.010858
-106.562364,50,65.080936
-114.343918,50,65.148468
-111.126932,50,65.207858
-110.434151,50,65.27397
-113.488026,50,65.335284
-115.356033,50,65.404048
-109.317859,50,65.473967
-116.809458,50,65.543177
-111.955163,50,65.607775
-104.895977,50,65.688022
-113.23598,50,65.762195
-114.902349,50,65.821247
-106.466161,50,65.880475
-116.938038,50,65.934018
-107.694208,50,65.994983
-107.233574,50,66.074299
-112.842829,50,66.173608
-110.343689,50,66.235332
-108.210603,50,66.298136
-112.820881,50,66.355707
-117.085477,50,66.419022
-114.834443,50,66.481075
-115.96089,50,66.542521
-114.409471,50,66.633965
-104.49025,50,66.706415
-107.929343,50,66.766504
-105.644649,50,66.824154
-108.600679,50,66.888111
-112.045113,50,66.943538
-106.089854,50,66.999952
-107.532206,50,67.060808
-108.289749,50,68.345335
-106.841714,50,68.40078
-114.555341,50,68.461096
-114.601941,50,68.527887
-109.540381,50,68.588903
-110.373554,50,68.661991
-106.860001,50,68.718406
-110.730573,50,68.783478
-112.269225,50,68.867767
-112.01871,50,68.95227
-108.2049,50,69.009179
-110.963059,50,69.066927
-114.78386,50,69.12756
-115.734542,50,69.191366
-114.197275,50,69.256741
-104.988374,50,69.321894
-108.620893,50,69.384853
-105.098775,50,69.444219
-105.836229,50,69.506714
-107.74509,50,69.567426
-117.923607,50,69.634333
-104.547425,50,69.698939
-114.010363,50,69.777812
-113.431413,50,69.849568
-105.754957,50,69.907983
-107.688896,50,69.973297
-105.118036,50,70.03582
-105.521656,50,70.098866
-109.367279,50,70.162945
-107.555044,50,70.221108
-118.164595,50,70.276239
-107.877203,50,70.33277
-105.78312,50,70.391578
-107.91976,50,70.448122
-106.734278,50,70.501904
-112.62009,50,70.557034
-108.211566,50,70.61211
-108.078804,50,70.679474
-117.614856,50,70.736647
-108.077479,50,70.797109
-117.118653,50,70.85789
-111.11422,50,72.059411
-108.974554,50,72.11287
-113.167124,50,72.169879
-109.788122,50,72.222652
-110.998723,50,72.274602
-112.266756,50,72.334344
-114.102903,50,72.398559
-115.315712,50,72.457958
-104.714174,50,72.516253
-116.089053,50,72.57828
-115.450492,50,72.635444
-111.375636,50,72.699301
-110.547838,50,72.758302
-117.211677,50,72.816446
-109.806141,50,72.880279
-111.993663,50,72.945441
-107.934523,50,73.002025
-107.281637,50,73.060106
-110.53715,50,73.117931
-105.342736,50,73.181623
-107.609497,50,73.24232
-105.488138,50,73.300043
-113.65796,50,73.371591
-112.428769,50,73.442557
-112.452582,50,73.505734
-104.761733,50,73.57542
-107.127225,50,73.638026
-108.463394,50,73.705701
-109.052414,50,73.765222
-108.960301,50,73.826473
-106.668888,50,73.896669
-104.948973,50,73.959808
-105.144091,50,74.017505
-114.696382,50,74.079291
-114.141755,50,74.140419
-111.83614,50,74.209436
-115.495118,50,74.282423
-104.592948,50,74.339773
-104.905682,50,74.405967
-105.703106,50,74.479434
-112.694151,50,74.550119
-115.812414,50,75.859672
-107.068215,50,75.927721
-108.414076,50,75.979806
-115.775668,50,76.04348
-114.457447,50,76.114429
-115.057753,50,76.182439
-116.235038,50,76.247556
-111.856328,50,76.311566
-105.076178,50,76.382124
-111.236949,50,76.449323
-109.519739,50,76.508771
-107.786831,50,76.572782
-113.392305,50,76.626607
-107.606292,50,76.693646
-110.611932,50,76.766159
-106.801468,50,76.818853
-105.929035,50,76.886171
-105.711369,50,76.955441
-107.436587,50,77.011455
-115.64187,50,77.079343
-114.807641,50,77.134133
-108.38104,50,77.188696
-117.939215,50,77.248274
-109.10198,50,77.321931
-106.853781,50,77.39112
-106.25632,50,77.460113
-106.065518,50,77.530591
-105.328816,50,77.599929
-107.10461,50,77.655595
-105.158672,50,77.728667
-114.816589,50,77.786
-113.518371,50,77.842379
-112.688374,50,77.911909
-109.106493,50,77.982026
-118.345753,50,78.051177
-109.767281,50,78.112203
-105.921716,50,78.172893
-113.614189,50,78.229244
-112.316056,50,78.289083
-108.737944,50,78.350539
-110.843881,50,78.421163
-108.135576,50,79.701495
-115.001927,50,79.76103
-107.497305,50,79.817819
-104.484109,50,79.884164
-117.426675,50,79.96097
-112.794364,50,80.029559
-106.454318,50,80.10229
-114.293535,50,80.172561
-114.173548,50,80.23724
-111.018291,50,80.290895
-110.978074,50,80.354359
-116.851019,50,80.426083
-117.95123,50,80.496295
-112.044071,50,80.5661
-111.601009,50,80.633577
-111.758162,50,80.703822
-111.083909,50,80.774136
-111.896176,50,80.840408
-107.806874,50,80.92873
-108.285195,50,80.997464
-116.886414,50,81.068749
-112.958442,50,81.138845
-106.460283,50,81.199403
-114.064373,50,81.26852
-105.52928,50,81.332644
-116.274333,50,81.404851
-110.850491,50,81.472286
-105.140082,50,81.537449
-117.644613,50,81.604698
-111.864962,50,81.679589
-109.065029,50,81.747997
-109.272688,50,81.809672
-112.061572,50,81.866796
-116.291667,50,81.933668
-108.408011,50,82.010356
-107.653287,50,82.080937
-113.449747,50,82.138731
-110.007531,50,82.211786
-111.688738,50,82.275744
-105.523188,50,82.346484
-105.743237,50,82.415759
-109.425883,50,83.652295
-117.138255,50,83.705701
-105.615937,50,83.765673
-114.210111,50,83.823171
-106.77264,50,83.889916
-114.489817,50,83.95645
-115.61836,50,84.019191
-112.535959,50,84.080213
-116.178163,50,84.142406
-118.332969,50,84.198169
-108.884667,50,84.255991
-114.999993,50,84.313796
-118.092542,50,84.375452
-108.38221,50,84.432805
-112.357852,50,84.484911
-110.894115,50,84.546694
-117.774105,50,84.613789
-114.043154,50,84.678417
-110.997331,50,84.740097
-113.787759,50,84.79534
-113.028799,50,84.853209
-108.783856,50,84.92057
-105.060753,50,84.976356
-106.980827,50,85.028223
-112.187862,50,85.082656
-105.810231,50,85.138607
-115.849702,50,85.193677
-106.31604,50,85.246266
-115.014841,50,85.309572
-110.860707,50,85.369534
-110.693132,50,85.425856
-114.273145,50,85.490685
-113.875011,50,85.563576
-114.825728,50,85.633946
-109.752473,50,85.693938
-109.928626,50,85.757557
-114.522595,50,85.828099
-109.149372,50,85.896927
-111.362931,50,85.957494
-105.952631,50,86.018229
-108.086382,50,86.081867
-105.566252,50,87.303315
-109.868919,50,87.356655
-105.851178,50,87.415278
-118.355501,50,87.465086
-105.109365,50,87.524657
-106.788234,50,87.587209
-106.722096,50,87.654991
-115.439636,50,87.713856
-112.090233,50,87.769688
-112.510753,50,87.841133
-110.176124,50,87.906729
-104.407748,50,87.971462
-106.460497,50,88.027038
-106.865384,50,88.084936
-107.980576,50,88.15376
-112.112485,50,88.219776
-105.558217,50,88.292753
-106.554738,50,88.364816
-107.346862,50,88.418584
-113.463226,50,88.478977
-113.724305,50,88.531726
-107.82397,50,88.582702
-113.989406,50,88.633474
-111.064048,50,88.695983
-113.51336,50,88.756886
-106.098484,50,88.812101
-107.233486,50,88.867373
-110.737271,50,88.923043
-108.064918,50,88.987087
-111.838323,50,89.047905
-108.759971,50,89.110833
-104.387387,50,89.172459
-110.526708,50,89.229573
-108.520497,50,89.28349
-113.753619,50,89.343669
-115.156747,50,89.399521
-109.523341,50,89.453852
-117.565486,50,89.516121
-108.575042,50,89.574107
-110.429132,50,89.629725
-117.696265,50,89.684676
-107.941574,50,90.878415
-111.56081,50,90.939364
-106.05336,50,90.997987
-111.856974,50,91.058666
-115.217978,50,91.121038
-110.624203,50,91.176173
-108.508173,50,91.240091
-113.431959,50,91.314244
-109.622872,50,91.388777
-113.079573,50,91.460454
-113.559713,50,91.52338
-104.698502,50,91.582419
-108.458015,50,91.63636
-108.874614,50,91.699823
-109.830425,50,91.765481
-117.572658,50,91.841425
-105.108741,50,91.906837
-105.741394,50,91.974582
-117.559217,50,92.027717
-108.770584,50,92.100313
-104.702126,50,92.154645
-107.972379,50,92.229354
-114.836629,50,92.28617
-118.317423,50,92.354274
-112.275198,50,92.425951
-110.030807,50,92.493081
-107.748313,50,92.555273
-115.386934,50,92.619037
-111.057892,50,92.672917
-108.396548,50,92.744354
-111.00291,50,92.816632
-107.808921,50,92.879038
-107.816861,50,92.93631
-109.43387,50,93.003619
-111.064867,50,93.059103
-116.270422,50,93.11376
-109.766605,50,93.167237
-108.923629,50,93.219479
-117.777197,50,93.27502
-117.858282,50,93.333827
-108.555885,50,93.384422
-112.982948,50,94.52984
-113.030922,50,94.593444
-106.741357,50,94.646898
-104.47395,50,94.702644
-105.226674,50,94.759052
-110.031375,50,94.829458
-107.340604,50,94.900256
-116.61647,50,94.959669
-110.816446,50,95.020396
-105.757987,50,95.073414
-117.437694,50,95.133558
-106.807745,50,95.189938
-110.073189,50,95.240514
-104.734378,50,95.29274
-110.856224,50,95.348269
-106.085666,50,95.411599
-105.299682,50,95.47584
-108.197115,50,95.534655
-105.197101,50,95.590241
-111.107788,50,95.651819
-107.665693,50,95.719221
-110.475122,50,95.774652
-112.003312,50,95.826723
-118.166935,50,95.877086
-110.63484,50,95.934094
-114.811037,50,95.991816
-113.031028,50,96.045629
-117.177004,50,96.101995
-105.141581,50,96.165764
-116.165063,50,96.221174
-110.718906,50,96.272541
-106.83239,50,96.327651
-110.085347,50,96.386041
-113.178579,50,96.452412
-114.888101,50,96.514089
-106.3416,50,96.568515
-111.209522,50,96.63106
-111.498309,50,96.689057
-104.656158,50,96.7477
-104.426635,50,96.813276
-113.757819,50,97.956204
