#{"t_start": 1782730396.64561, "env_id": "Reacher-v5"}
r,l,t
-49.148917,50,57.714478
-58.137798,50,57.768649
-56.635415,50,57.823646
-60.154548,50,58.821009
-51.0446,50,58.873365
-60.546338,50,58.925894
-55.770944,50,58.976734
-49.488471,50,59.034429
-51.105191,50,59.095947
-53.167873,50,59.151752
-56.008904,50,59.204748
-59.284884,50,59.258039
-48.461855,50,59.310055
-54.31651,50,59.364573
-49.331823,50,59.41968
-53.337388,50,59.467428
-57.673343,50,59.522824
-52.065863,50,59.574923
-49.834849,50,59.632775
-44.955357,50,59.686752
-50.951136,50,59.736098
-54.068605,50,59.787973
-52.809179,50,59.837487
-53.672523,50,59.887285
-52.035748,50,59.940192
-49.134861,50,59.996694
-54.992214,50,60.046547
-59.188575,50,60.100462
-51.590256,50,60.155483
-56.594778,50,60.206122
-51.657709,50,60.260012
-46.12368,50,60.311192
-53.731229,50,60.36211
-51.337187,50,60.411397
-50.943335,50,60.460955
-51.354699,50,60.512991
-58.799656,50,60.560982
-55.252774,50,60.610122
-55.079477,50,60.659019
-56.293994,50,60.711802
-46.380439,50,60.771168
-57.934247,50,60.824362
-52.863372,50,60.879662
-47.343188,50,60.933779
-58.106852,50,61.954939
-49.803938,50,62.007473
-54.221787,50,62.057422
-49.500325,50,62.109923
-54.662188,50,62.163568
-52.486713,50,62.215007
-56.678401,50,62.269913
-47.958848,50,62.326323
-50.306581,50,62.377698
-50.804614,50,62.433331
-48.826644,50,62.486792
-47.776585,50,62.536394
-57.067265,50,62.58885
-52.013625,50,62.640976
-51.037289,50,62.692561
-50.506464,50,62.747295
-47.386612,50,62.813843
-52.131444,50,62.871973
-49.215439,50,62.936788
-45.08408,50,62.994729
-49.56531,50,63.044959
-48.996425,50,63.099534
-50.611615,50,63.160511
-55.146039,50,63.238535
-50.425832,50,63.316229
-53.855972,50,63.37272
-53.110193,50,63.427093
-49.09888,50,63.487775
-51.987625,50,63.547158
-53.591262,50,63.599317
-43.649098,50,63.654856
-45.90839,50,63.728177
-54.919202,50,63.797915
-52.27707,50,63.856278
-52.307558,50,63.908869
-53.749881,50,63.965791
-60.531699,50,64.020656
-53.759184,50,64.069354
-48.442691,50,64.117661
-44.211195,50,64.173046
-47.389303,50,64.234207
-49.982009,50,65.404378
-48.908212,50,65.463843
-50.659516,50,65.512524
-47.299622,50,65.56899
-53.047866,50,65.628193
-54.33478,50,65.684788
-56.816062,50,65.744276
-49.787739,50,65.801557
-54.060141,50,65.864215
-51.527003,50,65.918751
-50.786771,50,65.971044
-56.155883,50,66.027862
-54.06564,50,66.083504
-48.627286,50,66.137328
-43.442353,50,66.21241
-47.768669,50,66.28625
-48.743174,50,66.351382
-41.659182,50,66.41553
-48.439879,50,66.483401
-48.183539,50,66.53791
-49.832105,50,66.60157
-52.586717,50,66.65552
-47.892575,50,66.713848
-48.998816,50,66.769115
-45.453231,50,66.821053
-48.931217,50,66.875755
-51.309783,50,66.92644
-58.239959,50,66.981762
-43.831183,50,67.035628
-51.716861,50,67.088021
-47.235107,50,67.140923
-60.244061,50,67.193357
-46.575162,50,67.251825
-50.054227,50,67.313644
-50.094589,50,67.374022
-47.101094,50,67.427859
-50.860865,50,67.481738
-46.780909,50,67.537263
-62.202683,50,67.601027
-51.969219,50,67.65943
-50.82273,50,67.714037
-53.710432,50,68.805064
-50.952152,50,68.867301
-60.703289,50,68.932689
-55.308727,50,68.995832
-50.579718,50,69.061026
-48.338583,50,69.128218
-39.353616,50,69.192714
-48.388329,50,69.246961
-48.364164,50,69.311543
-41.420758,50,69.371573
-48.832428,50,69.433808
-46.212433,50,69.501813
-49.650374,50,69.557307
-51.749035,50,69.609963
-49.054069,50,69.679115
-45.031752,50,69.736863
-43.942154,50,69.799869
-42.193066,50,69.869137
-55.455419,50,69.923553
-48.647817,50,69.978884
-49.561115,50,70.039311
-52.483093,50,70.103868
-42.345809,50,70.176123
-48.743352,50,70.236438
-53.371203,50,70.301264
-46.145924,50,70.365484
-52.261017,50,70.429764
-57.288455,50,70.49006
-49.488101,50,70.552631
-51.836884,50,70.614407
-57.993795,50,70.673055
-52.080243,50,70.733839
-44.17114,50,70.794139
-49.862833,50,70.854528
-47.110086,50,70.923165
-56.659888,50,70.978175
-47.586857,50,71.037851
-55.641377,50,71.103031
-50.454238,50,71.168801
-49.506782,50,71.233715
-45.43416,50,71.290187
-49.7304,50,72.513184
-42.687408,50,72.571206
-46.558165,50,72.628543
-50.374531,50,72.683725
-51.852495,50,72.744555
-45.540736,50,72.811603
-47.225121,50,72.876227
-51.718696,50,72.944242
-45.127781,50,73.009069
-44.665814,50,73.07559
-50.930384,50,73.138795
-51.13946,50,73.196378
-47.54976,50,73.245991
-54.505655,50,73.304157
-49.111587,50,73.373454
-46.593195,50,73.437888
-44.214914,50,73.504225
-51.758805,50,73.565437
-51.686579,50,73.618789
-45.921663,50,73.672327
-52.222955,50,73.725866
-49.994079,50,73.787307
-51.782751,50,73.848814
-43.23357,50,73.902489
-48.944172,50,73.965568
-45.851458,50,74.033131
-50.957391,50,74.097714
-47.283562,50,74.165992
-55.819194,50,74.231575
-54.122154,50,74.297513
-44.316859,50,74.361701
-41.147784,50,74.416538
-45.585014,50,74.471416
-50.97229,50,74.529264
-39.998737,50,74.593021
-42.449125,50,74.657039
-52.792217,50,74.715921
-46.090446,50,74.779023
-51.542304,50,74.830814
-41.320432,50,74.883896
-54.716896,50,74.939137
-45.127281,50,76.166136
-42.625755,50,76.217488
-54.205767,50,76.278394
-41.046121,50,76.344745
-49.328897,50,76.41048
-48.829113,50,76.47524
-52.821886,50,76.536819
-49.557726,50,76.589276
-41.748176,50,76.650027
-45.299764,50,76.721981
-48.283235,50,76.795547
-43.801651,50,76.853486
-49.668636,50,76.910173
-48.272012,50,76.976861
-53.01625,50,77.043487
-59.089349,50,77.107337
-49.55431,50,77.169585
-51.217078,50,77.231566
-43.853,50,77.290876
-46.294751,50,77.350797
-51.236098,50,77.407377
-48.826885,50,77.468536
-42.156504,50,77.538988
-46.895512,50,77.600026
-48.026185,50,77.664516
-46.313617,50,77.728962
-50.486654,50,77.786081
-54.374018,50,77.848826
-47.114171,50,77.916487
-44.019609,50,77.981183
-45.386321,50,78.045411
-47.71294,50,78.110674
-42.653336,50,78.174172
-49.062746,50,78.240189
-43.291367,50,78.305912
-45.693006,50,78.375717
-47.448504,50,78.441792
-55.08382,50,78.507489
-55.040325,50,78.56729
-46.04023,50,78.629889
-45.947585,50,78.697889
-46.213795,50,79.975939
-47.052345,50,80.043372
-45.025943,50,80.096724
-43.949822,50,80.163112
-47.544378,50,80.218474
-52.367876,50,80.279843
-37.635879,50,80.344803
-51.027578,50,80.414116
-52.810124,50,80.469061
-43.482974,50,80.5236
-34.378674,50,80.586416
-46.241758,50,80.656705
-47.506584,50,80.71668
-38.877533,50,80.768851
-36.704284,50,80.836577
-50.447221,50,80.894773
-46.987639,50,80.961512
-43.614031,50,81.030389
-48.409357,50,81.095154
-48.775597,50,81.155844
-50.965958,50,81.22553
-40.513174,50,81.286692
-50.955074,50,81.346172
-52.753184,50,81.408942
-38.659681,50,81.471822
-43.983111,50,81.532746
-40.247223,50,81.588858
-46.252841,50,81.654751
-51.672818,50,81.720329
-56.296375,50,81.779376
-43.012252,50,81.832209
-47.918617,50,81.893432
-43.607485,50,81.954416
-50.05643,50,82.0073
-54.19027,50,82.067569
-41.464522,50,82.121599
-50.364942,50,82.179349
-45.976058,50,82.235229
-48.682491,50,82.289809
-37.218843,50,82.347371
-56.084119,50,82.402335
-44.109765,50,83.559786
-47.292917,50,83.62546
-40.481072,50,83.684975
-39.573989,50,83.741603
-42.371108,50,83.805093
-42.390788,50,83.870206
-39.669164,50,83.928874
-44.856228,50,83.995139
-48.000532,50,84.052558
-42.546794,50,84.111661
-51.57283,50,84.182124
-51.346562,50,84.24781
-42.120832,50,84.306868
-49.324953,50,84.362936
-43.268045,50,84.417381
-48.412767,50,84.479415
-45.772892,50,84.538583
-42.028025,50,84.59599
-45.825347,50,84.651305
-42.414775,50,84.71036
-44.497489,50,84.775502
-37.612793,50,84.845321
-42.777569,50,84.89826
-41.891809,50,84.963326
-49.326916,50,85.034437
-50.0925,50,85.096329
-43.733837,50,85.153921
-42.119319,50,85.214159
-50.798239,50,85.2783
-43.670509,50,85.34394
-43.99733,50,85.410858
-58.737047,50,85.476891
-39.150507,50,85.536728
-39.562752,50,85.598636
-40.909908,50,85.655101
-37.13284,50,85.707925
-49.457394,50,85.770984
-46.899211,50,85.839694
-41.624202,50,85.906977
-41.660284,50,85.966608
-51.025402,50,86.035101
-44.555969,50,87.257246
-43.035149,50,87.315145
-35.85347,50,87.362232
-49.731599,50,87.430644
-50.610267,50,87.497797
-46.435068,50,87.559323
-42.075567,50,87.625873
-38.35139,50,87.686578
-43.4044,50,87.745211
-41.928678,50,87.813704
-42.568363,50,87.8719
-45.294744,50,87.941438
-35.224966,50,88.006989
-44.978512,50,88.076632
-43.741054,50,88.143886
-40.044062,50,88.208122
-47.426657,50,88.267113
-41.156663,50,88.337167
-42.62756,50,88.394281
-44.978203,50,88.461737
-39.807855,50,88.527584
-38.740734,50,88.59438
-37.6516,50,88.655552
-44.191484,50,88.720683
-44.806152,50,88.785049
-47.847134,50,88.848147
-44.659655,50,88.911525
-46.665945,50,88.975048
-41.278551,50,89.041158
-34.418658,50,89.102669
-33.623274,50,89.153805
-49.576152,50,89.20625
-39.465712,50,89.267852
-38.458825,50,89.320214
-42.568587,50,89.375883
-43.431723,50,89.429853
-45.463785,50,89.487158
-49.199256,50,89.547425
-45.978808,50,89.608041
-44.473911,50,89.664323
-41.608662,50,90.747092
